                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1343,                 1.5887,                 1.1878,                 0.5866,                0.38997,                 0.4278,                0.21989,                 1.8638,                 1.2277,                 1.0919,             0.00066567,             0.00066567,             0.00066567
                      2,                 1.8979,                 1.2223,                 1.0844,                0.66413,                0.44068,                0.50846,                 0.2746,                 1.7189,                 1.1289,                 1.0478,              0.0012664,              0.0012664,              0.0012664
                      3,                  1.822,                 1.1579,                   1.06,                0.69667,                0.45581,                0.53017,                0.28141,                  1.704,                 1.1068,                  1.019,              0.0018011,              0.0018011,              0.0018011
                      4,                 1.7717,                 1.1088,                 1.0422,                0.69284,                0.47732,                0.55271,                  0.318,                 1.5822,                 1.0839,                 1.0034,               0.001703,               0.001703,               0.001703
                      5,                 1.7298,                 1.0869,                  1.034,                0.71492,                0.47971,                 0.5627,                0.31799,                 1.5779,                 1.0224,                 1.0027,               0.001703,               0.001703,               0.001703
                      6,                 1.6812,                 1.0459,                 1.0183,                0.72035,                 0.4746,                0.56779,                0.33636,                 1.5104,                0.98744,                0.99041,               0.001604,               0.001604,               0.001604
                      7,                 1.6644,                 1.0284,                 1.0129,                0.71698,                0.48232,                0.56394,                0.33069,                  1.523,                 0.9848,                0.98972,               0.001505,               0.001505,               0.001505
                      8,                 1.6212,                 1.0023,                 1.0063,                0.73589,                0.49378,                0.58277,                0.34596,                 1.4994,                0.95628,                 0.9808,               0.001406,               0.001406,               0.001406
                      9,                 1.6228,                0.99798,                 1.0042,                0.74686,                0.49456,                0.58778,                0.35139,                 1.4608,                0.93158,                0.97204,               0.001307,               0.001307,               0.001307
                     10,                 1.5644,                0.95573,                0.98721,                0.71259,                0.50742,                0.59286,                0.35876,                 1.4394,                0.91662,                0.97099,               0.001208,               0.001208,               0.001208
                     11,                 1.5892,                 1.0067,                 1.0053,                 0.7277,                0.50658,                0.59343,                0.34252,                 1.4932,                0.95289,                0.97467,               0.001109,               0.001109,               0.001109
                     12,                 1.5605,                0.98451,                 0.9983,                0.73859,                0.51167,                0.59829,                 0.3618,                  1.435,                0.91118,                0.96423,                0.00101,                0.00101,                0.00101
                     13,                 1.5385,                0.95897,                0.99164,                0.73388,                0.51741,                0.60481,                0.36895,                 1.4234,                0.89982,                0.96502,               0.000911,               0.000911,               0.000911
                     14,                 1.5311,                0.95192,                0.99043,                0.73835,                0.51902,                0.60772,                0.37139,                 1.4012,                0.89506,                0.95792,               0.000812,               0.000812,               0.000812
                     15,                 1.5061,                0.92941,                0.98101,                0.74189,                0.51918,                0.61059,                0.37452,                 1.3951,                0.87738,                0.95686,               0.000713,               0.000713,               0.000713
                     16,                 1.4919,                0.92824,                0.98038,                0.74349,                0.51961,                0.61235,                0.38189,                 1.3712,                0.86942,                0.95454,               0.000614,               0.000614,               0.000614
                     17,                  1.481,                0.91889,                0.97794,                0.74824,                0.52902,                 0.6148,                0.37573,                  1.389,                0.86296,                0.95245,               0.000515,               0.000515,               0.000515
                     18,                 1.4676,                0.90026,                0.97062,                0.74528,                0.52801,                0.61649,                0.38483,                 1.3533,                0.85542,                0.94921,               0.000416,               0.000416,               0.000416
                     19,                 1.4502,                0.88666,                0.96866,                0.74124,                0.53644,                0.62247,                0.38952,                 1.3405,                0.84879,                0.94459,               0.000317,               0.000317,               0.000317
                     20,                 1.4315,                0.87183,                0.96181,                0.75204,                0.53216,                0.62315,                0.39081,                 1.3468,                0.83565,                0.94342,               0.000218,               0.000218,               0.000218
