                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0077,                 1.5668,                 1.1929,                 0.5747,                0.45884,                0.46987,                0.26515,                  1.576,                 1.3767,                 1.1355,             0.00066607,             0.00066607,             0.00066607
                      2,                 1.8033,                 1.2439,                 1.1023,                0.55663,                0.45506,                0.46697,                0.25378,                 1.5826,                 1.4147,                 1.1181,              0.0012668,              0.0012668,              0.0012668
                      3,                 1.7346,                 1.1771,                  1.084,                0.59985,                0.47449,                0.50881,                 0.2924,                 1.5083,                 1.2887,                 1.0811,              0.0018015,              0.0018015,              0.0018015
                      4,                 1.7134,                 1.1409,                 1.0733,                0.63567,                0.52011,                0.56322,                0.33834,                 1.4298,                 1.1963,                 1.0591,               0.001703,               0.001703,               0.001703
                      5,                  1.659,                 1.1121,                 1.0605,                0.60354,                0.49555,                0.54854,                0.33492,                 1.4053,                 1.2448,                 1.0674,               0.001703,               0.001703,               0.001703
                      6,                 1.6322,                 1.0857,                 1.0498,                0.57013,                0.43212,                0.45528,                 0.2819,                 1.4144,                 1.5027,                 1.0528,               0.001604,               0.001604,               0.001604
                      7,                  1.586,                 1.0508,                 1.0422,                0.65468,                0.50688,                0.57681,                0.35183,                  1.383,                 1.1447,                 1.0471,               0.001505,               0.001505,               0.001505
                      8,                 1.5921,                 1.0555,                 1.0394,                0.67952,                0.50715,                0.59013,                0.36185,                 1.3793,                 1.1273,                 1.0442,               0.001406,               0.001406,               0.001406
                      9,                 1.5611,                 1.0201,                 1.0275,                0.64499,                0.53279,                0.58479,                0.36545,                 1.3487,                 1.1068,                 1.0326,               0.001307,               0.001307,               0.001307
                     10,                 1.5477,                 1.0129,                 1.0279,                0.62937,                0.53395,                0.58532,                 0.3629,                 1.3664,                 1.1089,                 1.0406,               0.001208,               0.001208,               0.001208
                     11,                 1.5297,                 1.0421,                 1.0366,                0.65225,                0.54522,                0.59261,                0.36721,                 1.3552,                 1.1004,                 1.0357,               0.001109,               0.001109,               0.001109
                     12,                 1.5138,                 1.0201,                 1.0274,                0.65937,                 0.5498,                0.59942,                0.36875,                 1.3538,                 1.1062,                 1.0393,                0.00101,                0.00101,                0.00101
                     13,                  1.488,                0.99543,                 1.0233,                0.70041,                0.55358,                0.62329,                0.38419,                 1.3381,                 1.0745,                 1.0327,               0.000911,               0.000911,               0.000911
                     14,                 1.4782,                0.98936,                 1.0187,                0.67835,                0.55655,                0.61392,                0.38323,                 1.3236,                 1.0959,                 1.0272,               0.000812,               0.000812,               0.000812
                     15,                  1.462,                0.96714,                 1.0128,                0.67277,                 0.5552,                0.61127,                0.38388,                 1.3109,                 1.0765,                 1.0201,               0.000713,               0.000713,               0.000713
                     16,                 1.4543,                0.96355,                 1.0108,                0.65246,                0.57715,                0.61495,                0.39111,                 1.3108,                 1.0694,                 1.0153,               0.000614,               0.000614,               0.000614
                     17,                 1.4378,                0.94592,                  1.005,                0.69242,                0.56386,                0.62429,                0.39469,                 1.2933,                 1.0233,                 1.0164,               0.000515,               0.000515,               0.000515
                     18,                 1.4086,                0.93122,                0.99982,                0.66943,                0.57391,                0.62468,                0.39698,                 1.2894,                  1.042,                 1.0134,               0.000416,               0.000416,               0.000416
                     19,                 1.4124,                0.91725,                0.99814,                0.69689,                0.56842,                0.63791,                0.40814,                 1.2692,                0.99859,                 1.0085,               0.000317,               0.000317,               0.000317
                     20,                 1.4039,                0.91566,                0.99598,                0.70405,                0.56762,                0.63972,                0.40867,                  1.276,                0.99402,                 1.0043,               0.000218,               0.000218,               0.000218
